CC(N)C(=O)NC(C)(C)C(N)=O,1,7.93
CC(O)(C(O)=O)c1ccccc1,1,3.53
CC(O)=S,1,3.20
CC(O)C(O)=O,1,3.73
CC(O)CN,1,9.61
CC(O)Cc1ccccn1,1,5.48
CC(Oc1ccccc1)C(O)=O,1,2.91
OCCc1cccnc1,1,5.38
OCCc1ccncc1,1,5.64
OCCc1cn(C=C)cn1,1,6.05
OCCc1nccn1C=C,1,6.39
OCNC(=O)c1cccnc1,1,3.41
OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO[P](O)(O)=O,1,5.84
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O,1,3.47
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3cncnc23,1,2.31
OCCCc1ccncc1,1,5.87
OCCN1CCN(CC1)CC[S](O)(=O)=O,1,7.55
OCCN1CCN(CCC[S](O)(=O)=O)CC1,1,7.96
OCCNC(=S)C(=S)NCCO,1,11.07
OCCS,1,9.46
OCCSCCc1ccccn1,1,5.28
OCCSCc1ccccn1,1,4.61
OCCc1ccccn1,1,5.34
CCC(C)C(N)C(=O)OC,1,7.54
CCC(C)N,1,10.57
CCC(C)Nc1ccccc1,1,5.50
CCC(N)CC,1,10.46
CCC(NC(C)=O)C(O)=O,1,3.72
CCC(NC(N)=O)C(O)=O,1,3.89
CCC(O)(CC)C(O)=O,1,3.68
CCC(Oc1ccccc1)C(O)=O,1,3.03
OCCCc1ccccn1,1,5.66
OCCCc1cccnc1,1,5.56
CC1CCC(=C(C1)NO)N=O,1,10.54
CC1CCNCC1,1,11.08
CCC(=O)C(O)=O,1,2.49
CCC(=O)NCC(O)=O,1,3.72
CCC(=O)NO,1,9.44
CCC(C)C(CC)(C(O)=O)C(O)=O,1,8.40
OCCC(O)=O,1,4.43
OCCCC(O)=O,1,4.80
OCCCCCc1ccccn1,1,5.93
OCCCCCc1cccnc1,1,5.72
OCCCCCc1ccncc1,1,6.04
OCCCCc1ccccn1,1,5.83
OCCCCc1cccnc1,1,5.70
OCCCCc1ccncc1,1,6.01
OCC(CO)(CO)C(O)=O,1,4.46
OCC(O)(CO)C(O)=O,1,3.34
OCC(O)=O,1,3.73
OCC(O)C(O)=O,1,3.47
OCC(O)CO[P](O)(O)=O,1,6.15
OCC(O)CS,1,9.30
OCC1=CC(=O)C(=C(I)O1)O,1,6.53
OCC1=CC(=O)C(=CO1)O,1,7.75
CCCCN,1,10.75
CCCCN1C=CC=C(O)C1=O,1,9.06
CCCCNc1ccccc1,1,5.18
OC(=O)c1cccc(Br)c1,1,3.81
OC(=O)c1cccc(F)c1,1,3.77
OC(=O)c1cccc(F)c1F,1,3.10
OC(=O)c1cccc(I)c1,1,3.85
OC(=O)c1cccc(Oc2ccccc2)c1,1,3.95
CCCCC(N)C(=O)OC,1,7.68
CCCCC(O)C(O)=O,1,3.68
CCCCCCCC(CCCCCCC)(C(O)=O)C(O)=O,1,7.34
CCCCCCN,1,10.64
CCCCCCSCC(O)=O,1,3.65
CCCCCN,1,10.66
CCCCCNc1ccccc1,1,5.17
CCCCCSCC(O)=O,1,3.64
OC1=C(Br)C=CC=CC1=O,1,5.14
OC1=C(C(=O)C(=C(C1=O)[N+]([O-])=O)O)[N+]([O-])=O,1,0.50
OC1=CC(=O)C(=O)c2ccccc12,1,4.00
OC1=CC(=O)Oc2ccccc12,1,4.11
OC1=CC=C(C=CC1=O)C#N,1,3.72
CCC1=C(O)C(=O)C=CO1,1,8.56
CCCC(N)C(=O)OC,1,7.66
CCCC(O)(CCC)C(O)=O,1,3.80
OC(=O)c1occc1,1,3.05
OC(=O)c1sccc1,1,3.41
OC(C(F)(F)F)C(F)(F)F,1,9.42
OC(C(O)=O)c1ccccc1,1,3.29
OC(CC(O)=O)c1ccccc1,1,4.40
OC(Cc1ccccn1)c2ccccc2,1,5.20
OC(O)(C(F)(F)F)C(F)(F)F,1,6.65
OC(O)=C1OC(=CC(=O)C1=O)C(O)=O,1,9.82
CCCc1ccccc1O,1,10.50
CCCc1ccccn1,1,6.05
CCCn1ccnc1,1,7.22
CCN,1,10.73
