SMILES,pKa_num,pKa_value
Cc1ccncc1,1,[6.05]
Cn1c(CO)nc2ccccc12,1,[5.43]
COc1ccc(cc1)C(O)=O,1,[4.26]
COc1cccc(C(O)=O)c1OC,1,[3.5]
COc1cccc(c1)C(O)=O,1,[3.82]
COc1ccccc1C(O)=O,1,[3.87]
CSCC(O)=O,1,[3.55]
CSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O,1,[9.08]
CSc1ccc(cc1)C(O)=O,1,[3.9]
CSc1cccc2cccnc12,1,[3.42]
Oc1ccc2cc(ccc2c1)[S](O)(=O)=O,1,[8.86]
Oc1ccc2ccc(cc2c1)[S](O)(=O)=O,1,[9.0]
CC(C)(N)C(=O)NC(C)(C)C(=O)NC(C)(C)C(N)=O,1,[7.76]
CC(C)(N)C(=O)NC(C)(C)C(N)=O,1,[7.93]
CC(C)(N)C(N)=O,1,[8.06]
CC(C)(N)CO,1,[9.72]
CC(C)(O)C(O)=O,1,[3.79]
O[C@H]1[C@@H](O)[C@@H](O[C@@H]1CO[P](O)(=O)O[P](O)(O)=O)n2cnc3C(=O)N=CNc23,1,[6.69]
Oc1ccc(cc1)C#N,1,[7.74]
Oc1ccc(cc1)C2(O[S](=O)(=O)c3ccccc23)c4ccc(O)cc4,1,[7.7]
Oc1ccc(cc1)[N+]([O-])=O,1,[6.96]
Oc1ccc(cc1)[S](O)(=O)=O,1,[8.62]
Oc1ccc(cc1C=O)[S](O)(=O)=O,1,[6.93]
Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,1,[3.92]
Oc1ccc2C=CC(=O)Oc2c1,1,[7.61]
Oc1ccc2cc(cc(c2c1)[S](O)(=O)=O)[S](O)(=O)=O,1,[8.59]
Oc1c2ccccc2ccc1[S](O)(=O)=O,1,[9.11]
Oc1cc(cc2cc(ccc12)[S](O)(=O)=O)[S](O)(=O)=O,1,[8.06]
Oc1cc(cc2cccc(c12)[S](O)(=O)=O)[S](O)(=O)=O,1,[11.49]
Oc1cc(cc2ccccc12)[S](O)(=O)=O,1,[8.43]
Oc1cc2ccc(cc2cc1[S](O)(=O)=O)[S](O)(=O)=O,1,[9.16]
Oc1ccc(Br)cc1,1,[9.08]
Oc1ccc(F)cc1,1,[9.46]
Oc1ccc(c2ccccc12)[S](O)(=O)=O,1,[8.04]
Oc1ccccc1C#N,1,[6.86]
Oc1ccccc1F,1,[8.49]
Oc1ccccc1[N+]([O-])=O,1,[7.04]
S=C(NNc1ccccc1)N=Nc2ccccc2,1,[4.45]
Sc1[nH]ccn1,1,[11.21]
O[W](O)(=O)=O,1,[3.2]
Oc1c(ccc2ccccc12)N=O,1,[7.25]
Oc1c2ccccc2ccc1[N+]([O-])=O,1,[5.71]
[nH]1ccnc1,1,[7.0]
[nH]1ccnc1c2ccccn2,1,[5.47]
[nH]1cnc(c1)c2ccccn2,1,[5.49]
[nH]1cnc2ccccc12,1,[5.53]
[nH]1nnc2ccccc12,1,[8.27]
c1cc(ccn1)c2ccncc2,1,[4.67]
c1ccc(cc1)c2ccccn2,1,[4.64]
c1ccc(cc1)c2cccnc2,1,[4.81]
c1ccc(cc1)c2ccncc2,1,[5.38]
c1ccc2ncccc2c1,1,[4.97]
c1ccncc1,1,[5.24]
s1ccc(c1)c2ccccn2,1,[4.67]
Brc1cc2cccnc2c3ncccc13,1,[4.09]
Oc1cccc(c1O)[N+]([O-])=O,2,"[6.48, 11.6]"
Oc1cccc2cccnc12,2,"[4.97, 9.65]"
CC(=O)Oc1c(cccc1C(O)=O)C(O)=O,2,"[2.85, 3.8]"
