Ligand,Name
"DL-2-Amino-3-(6-oxo-1,6-dihydro-2-pyridinyl)propanoic acid","DL-2-Amino-3-(6-oxo-1,6-dihydro-2-pyridinyl)propanoic acid"
"L-2-Amino-3-(3-hydroxo-4-oxo-1,4-dihydro-1-pyridinyl)propanoic acid (Mimosine)",Mimosine
"DL-2-Amino-3-(5-hydroxo-4-oxo-1,4-dihydro-2-pyridinyl)propanoic acid (Isomimosine)",Isomimosine
"DL-2-Amino-3-(5-hydroxo-6-oxo-1,6-dihydro-2-pyridinyl)propanoic acid","DL-2-Amino-3-(5-hydroxo-6-oxo-1,6-dihydro-2-pyridinyl)propanoic acid"
"L-2-Amino-3-(3-methoxy-4-oxo-1,4-dihydro-1-pyridinyl)propanoic acid (Mimosine methyl ether)",Mimosine methyl ether
L-2-Amino-3-(2-pyridyl)propanoic acid (3-(2-Pyridyl)alanine),3-(2-Pyridyl)alanine
L-2-Amino-3-(6-methyl-2-pyridyl)propanoic acid (3-(6-Methyl-2-pyridyl)alanine),3-(6-Methyl-2-pyridyl)alanine
L-2-Amino-5-guanidopentanoic acid (Arginine),Arginine
DL-2-Amino-3-(4-guanidinophenyl)propanoic acid,DL-2-Amino-3-(4-guanidinophenyl)propanoic acid
DL-2-Amino-3-(4-guanidinomethylphenyl)propanoic acid,DL-2-Amino-3-(4-guanidinomethylphenyl)propanoic acid
DL-2-Amino-3-(4-aminophenyl)propanoic acid,DL-2-Amino-3-(4-aminophenyl)propanoic acid
DL-2-Amino-3-(4-(aminomethyl)phenyl)propanoic acid,DL-2-Amino-3-(4-(aminomethyl)phenyl)propanoic acid
DL-2-Amino-3-(4-(dimethylamino)phenyl)propanoic acid,DL-2-Amino-3-(4-(dimethylamino)phenyl)propanoic acid
L-[1-Carboxy-2-(4-hydroxyphenyl)ethyl]trimethylammonium (chloride) (Tyrosine betaine),Tyrosine betaine
DL-(4-Amino-4-carboxybutyl)trimethylammonium ion (N(5)-Trimethylornithine),N(5)-Trimethylornithine
N-Methylglycine (Sarcosine),Sarcosine
N-Ethylglycine,N-Ethylglycine
N-Propylglycine,N-Propylglycine
N-Butylglycine,N-Butylglycine
N-(2-Propyl)glycine,N-(2-Propyl)glycine
L-Pyrrolidine-2-carboxylic acid (L-Proline),L-Proline
L-Piperidine-2-carboxylic acid (Pipecolic acid),Pipecolic acid
2-Indolecarboxylic acid,2-Indolecarboxylic acid
DL-N-Benzylaminobutanedioic acid,DL-N-Benzylaminobutanedioic acid
L-2-(Iminomethylamino)pentanedioic acid,L-2-(Iminomethylamino)pentanedioic acid
S-(1-Carboxy-3-phenylpropyl)-L-alanyl-L-proline (Enalaprilat),Enalaprilat
L-N-(2-Hydroxybenzyl)-2-aminopropanoic acid,L-N-(2-Hydroxybenzyl)-2-aminopropanoic acid
N-(Phosphonomethyl)glycine (Glyphosate),Glyphosate
(Carboxymethylamino)acetohydroxamic acid,(Carboxymethylamino)acetohydroxamic acid
(Carboxymethylamino)aceto-N-methylhydroxamic acid,(Carboxymethylamino)aceto-N-methylhydroxamic acid
3-(2-Hydroxyethylamino)propanoic acid,3-(2-Hydroxyethylamino)propanoic acid
L-4-Hydroxypyrrolidine-2-carboxylic acid (L-Hydroxyproline),L-Hydroxyproline
