Ligand,Name,smiles
3-(2-Hydroxyethylamino)propanoic acid,2-Hydroxyethylaminopropanoic acid,
L-4-Hydroxypyrrolidine-2-carboxylic acid (L-Hydroxyproline),L-Hydroxyproline,C1C(CNC1C(=O)O)O
"DL-1,3-Thiazolidine-4-carboxylic acid (DL-Thiaproline)",DL-Thiaproline,C1C(NCS1)C(=O)O
"L-1,4-Perhydrothiazine-3-carboxylic acid","L-1,4-Perhydrothiazine-3-carboxylic acid",
DL-Benzylpenicilloic acid,DL-Benzylpenicilloic acid,
L-N-Acetyltryptophan,L-N-Acetyltryptophan,
L-2-(2-Pyridylmethylamino)-5-thiahexanoic acid,2-Pyridylmethylamino-5-thiahexanoic acid,
DL-[1-Carboxy-2-(2-mercapto-4-imidazolyl)ethyl](trimethyl)ammonium (chloride) (Ergothioneine),Ergothioneine,C[N+](C)(C)C(CC1=CNC(=S)N1)C(=O)[O-]
N-(2-Aminoethyl)glycine (Ethylenediamine monoacetic acid) (EDMA),EDMA,CC(CC1=CC2=C(C=C1)OCCO2)NC
N-[Tris(hydroxymethyl)methyl]glycine (Tricine),Tricine,C(C(=O)O)NC(CO)(CO)CO
1-Carboxymethyl-2-ketopiperazine,1-Carboxymethyl-2-ketopiperazine,
4-Carboxymethyl-2-ketopiperazine,4-Carboxymethyl-2-ketopiperazine,
"1,4-Bis(carboxymethyl)-2-ketopiperazine",carboxymethyl-2-ketopiperazine,
"1,2,3-Triazole-4-carboxylic acid","1,2,3-Triazole-4-carboxylic acid",C1=NNN=C1C(=O)O
"1-Phenyl-1,2,3-triazole-4-carboxylic acid","1-Phenyl-1,2,3-triazole-4-carboxylic acid",C1=CC=C(C=C1)N2C=C(N=N2)C(=O)O
"5-Methyl-1-phenyl-1,2,3-triazole-4-carboxylic acid","5-Methyl-1-phenyl-1,2,3-triazole-4-carboxylic acid",CC1=C(N=NN1C2=CC=CC=C2)C(=O)O
"1,2,3-Triazole-4,5-dicarboxylic acid","1,2,3-Triazole-4,5-dicarboxylic acid",C1(=NNN=C1C(=O)O)C(=O)O
"1-Phenyl-1,2,3-triazole-4,5-dicarboxylic acid","1-Phenyl-1,2,3-triazole-4,5-dicarboxylic acid",
Diethylenetriamine-N(1)-acetic acid,1-acetic acid,
2-(Carboxymethylaminomethyl)azole-4-sulfonic acid (N-(4-Sulfonyl-2-pyrrylmethyl)glycine),4-Sulfonyl-2-pyrrylmethylglycine,
L-2-(Methylamino)-3-(4-imidazolyl)propanoic acid (N(alpha)-Methylhistidine),alpha-Methylhistidine,CC(CC1=CN=CN1)(C(=O)O)N
L-2-(Benzylamino)-3-(4-imidazolyl)propanoic acid (N(alpha)-Benzyl-L-histidine),alpha-Benzyl-L-histidine,
"L-2-(Benzylamino)-3-(3-benzyl-5-imidazolyl)propanoic acid (N(alpha),N(3)-Dibenzyl-L-histidine)",3-Dibenzyl-L-histidine,
"L-4,5,6,7-Tetrahydro-1H-imidazo[4,5-c]pyridine-6-carboxylic acid (Spinacine)",Spinacine,C1C(NCC2=C1N=CN2)C(=O)O
4-Imidazolylacetic acid,4-Imidazolylacetic acid,
3-(4-Imidazolyl)propanoic acid,4-Imidazolylpropanoic acid,C1=C(NC=N1)CCC(=O)O
2-Hydroxy-3-(4-imidazolyl)propanoic acid,4-imidazolylpropanoic acid,C1=C(NC=N1)CCC(=O)O
N-Acetyl-L-histidine,N-Acetyl-L-histidine,CC(=O)NC(CC1=CN=CN1)C(=O)O
N-(2-Methyl-2-propoxycarbonyl)-L-histidine,2-Methyl-2-propoxycarbonyl-L-histidine,
N-Acetylglycyl-L-histidine,N-Acetylglycyl-L-histidine,
N-Acetylglycylglycyl-L-histidine,N-Acetylglycylglycyl-L-histidine,
N-Acetylglycyl-L-histidylglycine,N-Acetylglycyl-L-histidylglycine,
N-Acetylglycyl(N(3)-benzyl-L-histidyl)glycine,3-benzyl-L-histidylglycine,
N-Acetylglycylglycylglycyl-L-histidine,N-Acetylglycylglycylglycyl-L-histidine,CC(=O)NCC(=O)NCC(=O)NCC(=O)NC(CC1=CN=CN1)C(=O)O
N-Acetylglycylglycyl-L-histidylglycine,N-Acetylglycylglycyl-L-histidylglycine,CC(=O)NCC(=O)NCC(=O)NC(CC1=CN=CN1)C(=O)NCC(=O)O
Ethylenediiminodiacetic acid (EDDA),EDDA,C(CNCC(=O)O)NCC(=O)O
Ethylenediiminodi-3-propanoic acid (EDDP),EDDP,CCOP(=O)(SC1=CC=CC=C1)SC2=CC=CC=C2
Ethylenediiminodi-2-propanoic acid,Ethylenediiminodi-2-propanoic acid,
Ethylenediiminodi-2-butanoic acid,Ethylenediiminodi-2-butanoic acid,
Ethylenediiminobis(dimethylacetic acid),dimethylacetic acid,CC(C)C(=O)O
"1,4-Diaminobutane-N,N'-diacetic acid","1,4-Diaminobutane-N,N'-diacetic acid",
Bis(carboxymethyliminomethyl)phosphinic acid,carboxymethyliminomethylphosphinic acid,
"3-(Carboxymethyl)-2-oxo-1,4-diazacyclohexane-1-butanedioic acid (Cyclic-EDDS)",Cyclic-EDDS,
Ethylenediiminodipropanedioic acid (EDDM),EDDM,
Ethylenediiminodibutanedioic acid (EDDS),EDDS,C(CNC(CC(=O)O)C(=O)O)NC(CC(=O)O)C(=O)O
Ethylenediiminodi-2-pentanedioic acid (EDDG),EDDG,
"meso-(1,2-Dimethylethylene)diiminodipropanedioic acid","1,2-Dimethylethylenediiminodipropanedioic acid",
"meso-(1,2-Dimethylethylene)diiminodibutanedioic acid","1,2-Dimethylethylenediiminodibutanedioic acid",
