metal_ion,SMILES,pKa_num,pKa_value,predicted_positions
Ca2+,O[P](O)(=O)C(Cl)(Cl)[P](O)(O)=O,1,[0.6200000000000001],[9]
Ca2+,O[P](O)(=O)C(Cl)Cl,1,[1.26],[0]
Ca2+,O[P](O)(=O)C(c1ccc(Cl)cc1)[P](O)(O)=O,1,[5.87],[14]
Ca2+,O[P](O)(=O)C1(CCC(=O)N1)[P](O)(O)=O,1,[6.86],[0]
Ca2+,O[P](O)(=O)C1CCCCC1,1,[1.65],[0]
Ca2+,O[P](O)(=O)CBr,1,[1.34],[0]
Ca2+,O[P](O)(=O)CCl,1,[1.46],[0]
Ca2+,O[P](O)(=O)CI,1,[1.37],[2]
Ca2+,O[P](O)(=O)C[P](O)(O)=O,1,[5.97],[2]
Ca2+,O[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O,1,[2.2866666666666666],[2]
Ca2+,O[P](O)(=O)O[P](O)(O)=O,1,[5.39],[0]
Ca2+,O[P](O)(=O)c1ccccc1,1,[1.4],[2]
Ca2+,O[P](O)([O-])=O,1,[5.195],[0]
Ca2+,Oc1c(C=O)cccc1[N+]([O-])=O,1,[1.0],[0]
Ca2+,Oc1c(Cl)cccc1C=O,1,[0.7],[0]
Ca2+,Oc1c(cc(c2cccnc12)[S](O)(=O)=O)[N+]([O-])=O,1,[1.37],[0]
Ca2+,Oc1cc(Cl)ccc1C=O,1,[1.1],[0]
Ca2+,Oc1ccc(Cl)cc1C=O,1,[0.9],[0]
Ca2+,Oc1ccc(c2cccnc12)[S](O)(=O)=O,1,[2.66],[0]
Ca2+,Oc1ccc(cc1C=O)[N+]([O-])=O,1,[0.8],[0]
Ca2+,Oc1cccc(Cl)c1C=O,1,[1.74],[0]
Ca2+,Oc1ccccc1C=O,1,[1.1],[0]
Ca2+,[Na+].OC([O-])=O.Oc1c(I)cc(c2cccnc12)[S](O)(=O)=O,1,[2.36],[5]
Ca2+,[O-][N+](=O)c1ccc(O[P]([O-])([O-])=O)cc1,1,[1.26],[4]
Ca2+,[O-][P]([O-])(=O)O[P]([O-])(=O)Oc1ccccc1,1,[2.9],[11]
Ca2+,[O-][P]([O-])(=O)Oc1cccc2ccccc12,1,[1.22],[7]
Ca2+,[O-][P]([O-])(=O)Oc1ccccc1,1,[1.45],[9]
Ca2+,[OH-],1,[0.96],[]
Ca2+,[nH]1ccnc1,1,[-0.1],[3]
Ca2+,c1ccc(nc1)c2ccccn2,1,[-0.05],[4]
Ca2+,c1cnc2c(c1)ccc3ncccc23,1,[1.0],[9]
Ca2+,CC(C)C1=CC(=O)C(=CC=C1)O,2,"[-2.77, 4.54]","[11, 10]"
Ca2+,OC(=O)CN(CC(O)=O)C1C(=O)NC(=O)NC1=O,2,"[8.305, 13.9]","[4, 7]"
Ca2+,OC(=O)c1cccc(n1)C(O)=O,2,"[4.36, 7.4]","[8, 0]"
Cd2+,C(CN(Cc1ccccn1)Cc2ccccn2)N(Cc3ccccn3)Cc4ccccn4,1,[16.09],[24]
Cd2+,C1CCNCCNCCNCCNC1,1,[11.3],[6]
Cd2+,C1CCNCCNCCNCCNCC1,1,[10.18],[6]
Cd2+,C1CN(CCN1)CCNCCN2CCNCC2,1,[4.27],[5]
Cd2+,C1CNCCNCCCNCCNC1,1,[11.3],[9]
Cd2+,C1CNCCNCCCNCCNCCNC1,1,[15.5],[9]
Cd2+,C1CNCCNCCN1,1,[9.3],[2]
Cd2+,C1CNCCSCCOCCSCCN1,1,[7.1],[14]
Cd2+,C1N2CN3CN1CN(C2)C3,1,[0.11],[1]
Cd2+,C=CCCCc1ccccn1,1,[1.0],[10]
Cd2+,C=CCCc1ccccn1,1,[1.3],[9]
Cd2+,C=CCc1ccccn1,1,[1.3],[8]
